Team,SEASON_START,TEAM_PAYROLL,INFLATION_ADJ_TEAM_PAYROLL
New York,2003,"$89,444,820","$132,290,680"
Portland,2003,"$82,956,768","$122,694,724"
Dallas,2003,"$79,536,723","$117,636,409"
Minnesota,2003,"$71,272,042","$105,412,780"
Sacramento,2003,"$68,372,826","$101,124,779"
Phoenix,2003,"$66,931,770","$98,993,428"
Atlanta,2003,"$64,497,340","$95,392,858"
LA Lakers,2003,"$64,123,085","$94,839,328"
Brooklyn,2003,"$63,697,123","$94,209,318"
Toronto,2003,"$63,033,243","$93,227,428"
Philadelphia,2003,"$60,411,079","$89,349,195"
Boston,2003,"$60,185,915","$89,016,174"
Indiana,2003,"$58,156,236","$86,014,236"
Memphis,2003,"$57,378,323","$84,863,687"
Chicago,2003,"$55,489,797","$82,070,520"
Houston,2003,"$55,401,430","$81,939,823"
Detroit,2003,"$53,442,834","$79,043,021"
Golden State,2003,"$53,376,708","$78,945,218"
Milwaukee,2003,"$53,229,826","$78,727,979"
Oklahoma City,2003,"$52,347,476","$77,422,965"
Orlando,2003,"$50,588,419","$74,821,282"
New Orleans,2003,"$49,800,204","$73,655,498"
Miami,2003,"$47,349,374","$70,030,671"
San Antonio,2003,"$46,464,064","$68,721,278"
Cleveland,2003,"$46,186,472","$68,310,714"
Washington,2003,"$45,682,902","$67,565,925"
Denver,2003,"$39,398,646","$58,271,385"
LA Clippers,2003,"$39,114,363","$57,850,923"
Utah,2003,"$34,747,674","$51,392,504"
New York,2004,"$102,567,539","$146,901,363"
Dallas,2004,"$91,908,443","$131,634,974"
Portland,2004,"$83,671,309","$119,837,418"
Philadelphia,2004,"$71,951,878","$103,052,375"
Minnesota,2004,"$70,123,411","$100,433,573"
Memphis,2004,"$67,010,830","$95,975,607"
Orlando,2004,"$66,445,249","$95,165,560"
Indiana,2004,"$66,064,780","$94,620,634"
LA Lakers,2004,"$65,059,098","$93,180,259"
Boston,2004,"$64,577,356","$92,490,288"
Sacramento,2004,"$61,807,688","$88,523,458"
Toronto,2004,"$61,703,775","$88,374,629"
Houston,2004,"$60,284,303","$86,341,605"
Miami,2004,"$59,523,529","$85,251,991"
Milwaukee,2004,"$57,448,246","$82,279,688"
Chicago,2004,"$57,276,129","$82,033,174"
New Orleans,2004,"$56,572,882","$81,025,956"
Brooklyn,2004,"$54,983,980","$78,750,269"
Golden State,2004,"$54,943,723","$78,692,613"
Detroit,2004,"$54,762,481","$78,433,028"
Oklahoma City,2004,"$53,821,301","$77,085,033"
Washington,2004,"$49,797,050","$71,321,338"
Cleveland,2004,"$49,175,274","$70,430,806"
San Antonio,2004,"$47,504,123","$68,037,315"
Denver,2004,"$46,101,759","$66,028,793"
LA Clippers,2004,"$45,483,265","$65,142,962"
Phoenix,2004,"$44,598,682","$63,876,027"
Utah,2004,"$43,515,760","$62,325,020"
Atlanta,2004,"$41,059,616","$58,807,233"
Charlotte,2004,"$23,922,578","$34,262,872"
New York,2005,"$126,631,098","$176,890,289"
Dallas,2005,"$98,454,832","$137,531,014"
Philadelphia,2005,"$84,807,300","$118,466,850"
Indiana,2005,"$78,791,779","$110,063,803"
Orlando,2005,"$75,784,782","$105,863,345"
LA Lakers,2005,"$72,917,945","$101,858,674"
Houston,2005,"$69,257,404","$96,745,281"
Memphis,2005,"$67,525,538","$94,326,051"
Brooklyn,2005,"$66,449,350","$92,822,729"
San Antonio,2005,"$63,570,274","$88,800,964"
Milwaukee,2005,"$63,022,514","$88,035,801"
Sacramento,2005,"$62,811,975","$87,741,701"
Toronto,2005,"$62,411,884","$87,182,816"
Minnesota,2005,"$61,830,186","$86,370,244"
Miami,2005,"$60,732,452","$84,836,825"
Portland,2005,"$60,017,964","$83,838,761"
Detroit,2005,"$59,619,275","$83,281,835"
Utah,2005,"$57,372,902","$80,143,889"
Chicago,2005,"$57,166,530","$79,855,609"
Golden State,2005,"$57,114,566","$79,783,022"
Boston,2005,"$56,907,300","$79,493,492"
Denver,2005,"$56,492,172","$78,913,603"
Washington,2005,"$54,555,947","$76,208,899"
Phoenix,2005,"$53,626,924","$74,911,152"
LA Clippers,2005,"$51,358,645","$71,742,605"
Cleveland,2005,"$51,303,962","$71,666,220"
Oklahoma City,2005,"$49,253,379","$68,801,772"
Atlanta,2005,"$42,944,553","$59,989,009"
New Orleans,2005,"$41,277,617","$57,660,472"
Charlotte,2005,"$33,458,932","$46,738,595"
New York,2006,"$117,350,866","$157,140,261"
Dallas,2006,"$88,531,846","$118,549,762"
LA Lakers,2006,"$77,099,949","$103,241,726"
Portland,2006,"$75,026,386","$100,465,090"
Philadelphia,2006,"$69,140,163","$92,583,066"
Minnesota,2006,"$66,820,673","$89,477,124"
Phoenix,2006,"$65,841,120","$88,165,438"
San Antonio,2006,"$65,654,320","$87,915,299"
Denver,2006,"$65,517,776","$87,732,460"
Golden State,2006,"$65,012,368","$87,055,687"
Brooklyn,2006,"$64,486,110","$86,350,993"
Miami,2006,"$64,416,312","$86,257,527"
Sacramento,2006,"$64,296,611","$86,097,240"
Houston,2006,"$63,837,566","$85,482,552"
Milwaukee,2006,"$63,498,518","$85,028,545"
Indiana,2006,"$63,118,965","$84,520,297"
Cleveland,2006,"$62,992,729","$84,351,261"
Boston,2006,"$62,981,479","$84,336,197"
Washington,2006,"$62,733,705","$84,004,415"
Utah,2006,"$62,364,364","$83,509,840"
Memphis,2006,"$61,960,489","$82,969,026"
Orlando,2006,"$61,447,108","$82,281,577"
LA Clippers,2006,"$59,181,038","$79,247,163"
Detroit,2006,"$59,010,951","$79,019,409"
Oklahoma City,2006,"$56,986,831","$76,308,981"
Chicago,2006,"$54,754,904","$73,320,291"
New Orleans,2006,"$53,748,991","$71,973,308"
Toronto,2006,"$51,015,491","$68,312,976"
Atlanta,2006,"$48,581,972","$65,054,339"
Charlotte,2006,"$41,964,046","$56,192,516"
Dallas,2007,"$101,694,879","$132,612,549"
New York,2007,"$96,190,114","$125,434,206"
Denver,2007,"$82,958,227","$108,179,507"
Cleveland,2007,"$82,217,583","$107,213,692"
