iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__base_estimator,param_model__learning_rate,param_model__loss,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,28,0.008897018432617188,0.001819255309837368,0.0027756690979003906,0.0012882943277807344,DecisionTreeRegressor(max_depth=3),0.01,linear,10,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.01, 'model__loss': 'linear', 'model__n_estimators': 10}",-6386844.233333333,-1241572.6783216784,-5160701.222222222,-3110593.0625,-5609245.75,-5612226.5,-7191407.571428571,-4803513.022222222,-9527332.083333334,-2968125.9226190476,-5161156.20459804,2227043.0418431177,566,-1111011.0355,-400893.37119586294,-1051918.8641361417,-1456075.8323775048,-855057.4383641458,-1446647.0185092553,-541308.2046406926,-1915561.699627451,-780549.5903833945,-739753.6468253969,-1029877.6701559846,442500.40962301503
0,28,0.03043537139892578,0.006154296350225569,0.0031348705291748048,0.00030298242412874274,DecisionTreeRegressor(max_depth=3),0.01,linear,50,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.01, 'model__loss': 'linear', 'model__n_estimators': 50}",-6106029.75,-1138476.71875,-3701355.214285714,-3006863.15,-7672030.625,-6168427.055555556,-1487067.7727272727,-4561555.961111112,-10161837.23076923,-2373694.5,-4637733.797819888,2739731.889426735,313,-633511.5499108735,-438090.69721139973,-435481.80766666675,-591530.3695558526,-340135.5573247863,-465583.4680760351,-602726.8932049063,-637114.9077637722,-605925.5059715938,-529809.9063189034,-527991.066300479,97245.46110137891
0,28,0.07116806507110596,0.016741361674677744,0.004402804374694824,0.0012705513898997084,DecisionTreeRegressor(max_depth=3),0.01,linear,100,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.01, 'model__loss': 'linear', 'model__n_estimators': 100}",-6483626.375,-1345788.1188811187,-3138158.0,-3084948.576923077,-7322422.7,-3111089.9,-6868639.8,-4557521.325174825,-10230700.333333334,-2272433.283333333,-4841532.841264568,2643600.7203982184,389,-531206.8264728376,-366325.14793362195,-459662.887690943,-589830.2374969148,-309512.9496816517,-408897.130909708,-394884.3061280942,-661807.0147334168,-344709.26886507944,-601372.0132164502,-466820.7783128718,115645.20881756322
0,28,0.16854019165039064,0.07139732212963135,0.011482024192810058,0.008256774120345799,DecisionTreeRegressor(max_depth=3),0.01,linear,200,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.01, 'model__loss': 'linear', 'model__n_estimators': 200}",-6432705.357142857,-1308217.0625,-3008616.65625,-3120762.1081871344,-9629743.5,-2986701.1363636362,-7007054.666666667,-4679407.940789474,-10260567.539215688,-2309682.361111111,-5074345.832822657,2960643.5157159115,511,-543295.8609807385,-466129.1340039961,-506347.449013098,-613931.556627402,-330876.9217936508,-414989.73391758243,-406897.53709479404,-727282.9448412668,-355527.0522091503,-587030.8607330448,-495230.9051214723,118497.58819728596
0,28,0.40676796436309814,0.12556032886271626,0.02054176330566406,0.012556094080219422,DecisionTreeRegressor(max_depth=3),0.01,linear,400,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.01, 'model__loss': 'linear', 'model__n_estimators': 400}",-6451455.807692308,-1259089.25,-3010982.666666667,-3089198.7666666666,-8988431.166666668,-3053574.722222222,-6984600.166666667,-4664278.722222222,-9967740.75,-2295068.1666666665,-4976442.018547008,2818608.5970766423,442,-510349.5676761572,-469139.83242780744,-390113.3638239538,-600523.3891671195,-311825.7547475858,-425934.4765592186,-466246.6321148851,-782153.1120744006,-369537.138870657,-672682.656111111,-499850.5923572896,138464.45014455277
0,28,0.62379949092865,0.09203727114443785,0.04113073348999023,0.034977880256821275,DecisionTreeRegressor(max_depth=3),0.01,linear,600,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.01, 'model__loss': 'linear', 'model__n_estimators': 600}",-6502423.035714285,-1295015.8589743588,-3124138.611111111,-3088396.428571428,-9319703.09090909,-3000210.3125,-6974404.25,-4761635.982954545,-9748673.44117647,-2226743.75,-5004134.476191129,2828639.7526578945,468,-551539.8862718393,-460012.7868147408,-416978.7456192696,-614592.7994647967,-327324.29277555784,-423371.0936448519,-486926.4499946719,-799924.9563716159,-387461.6791100355,-585749.2525262515,-505388.19425936305,130315.63351572538
0,28,0.017992401123046876,0.013886253842758241,0.00517425537109375,0.005153811517369703,DecisionTreeRegressor(max_depth=3),0.01,square,10,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.01, 'model__loss': 'square', 'model__n_estimators': 10}",-2590627.1875,-1179461.8055555555,-4922420.055555556,-3274626.05,-7840878.0,-1819138.653846154,-2577218.9375,-4751557.607692308,-11076502.94642857,-2750061.6363636362,-4278249.288044178,2903126.789677224,229,-772162.0418253967,-488366.17938461545,-858835.9675757576,-618771.8062930403,-613502.4090714286,-492646.16240293044,-489120.3421486292,-1648690.7033892714,-953392.0200865801,-722532.6116147186,-765802.0243792369,331391.16111604404
0,28,0.03983285427093506,0.021004536512820436,0.01137247085571289,0.013317672068799398,DecisionTreeRegressor(max_depth=3),0.01,square,50,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.01, 'model__loss': 'square', 'model__n_estimators': 50}",-6320987.09375,-1322047.1692307692,-2540738.375,-3011566.5453216373,-7990015.0,-2226251.8333333335,-6769298.214285715,-4907627.712797619,-9936550.038461538,-2340978.813131313,-4736606.079531192,2753055.6306580594,348,-510519.9023392943,-485964.9932727272,-462833.6238284492,-577664.5341764347,-592274.0801818181,-469442.1063325563,-554695.0225909646,-693958.1955232595,-463843.9074309783,-792966.9865440115,-560416.3352220494,104122.98958884893
0,28,0.121234130859375,0.0534134381643847,0.006562280654907227,0.00528362794933872,DecisionTreeRegressor(max_depth=3),0.01,square,100,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.01, 'model__loss': 'square', 'model__n_estimators': 100}",-6428651.735294118,-1225791.3958333335,-2526229.666666667,-3074517.7894736845,-9662117.25,-2747171.6,-6949100.4,-4638058.964705883,-10366670.916666666,-2315550.9454545453,-4993386.066409489,3047298.320178589,460,-539732.0585320039,-455049.56942635146,-478778.73615750915,-585987.7148106156,-355043.5504255744,-410647.647978466,-414461.9145982906,-782791.5145870692,-444791.91397029115,-689532.2873058053,-515681.69077919767,128155.64487001869
0,28,0.17288756370544434,0.07393012060555396,0.007936191558837891,0.0064371812454198105,DecisionTreeRegressor(max_depth=3),0.01,square,200,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.01, 'model__loss': 'square', 'model__n_estimators': 200}",-6429292.611111111,-1327349.0583333336,-3174129.4285714286,-3097491.8588235294,-8359428.6,-2892751.0666666664,-6994287.909090909,-4778700.955952381,-9839026.92857143,-2546089.125,-4943854.754212079,2676627.286470146,426,-548605.198810637,-485970.116859637,-422869.98590476194,-576118.7096011211,-323151.1157554113,-438441.0191084602,-469061.1482429792,-786911.7855190561,-426521.4667692308,-631456.1348614718,-510910.6681432767,124150.07235112572
0,28,0.4286168575286865,0.0790160073189135,0.028737568855285646,0.03559947206398157,DecisionTreeRegressor(max_depth=3),0.01,square,400,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.01, 'model__loss': 'square', 'model__n_estimators': 400}",-10276735.0,-1254421.2576923077,-3211383.25,-3087087.5168067226,-9783088.5,-2939571.7285714285,-7032549.428571429,-4743443.583333333,-9698473.175,-2285397.775,-5431215.121497521,3280812.4856951376,610,-440665.4826528406,-511345.6928476523,-435164.57531842426,-636566.1269426129,-331422.8561403041,-450994.5821293707,-477347.7179554334,-808970.8821810749,-429333.3410283418,-660524.8870400708,-518233.6144236126,134438.28861111705
