iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__fit_intercept,param_model__precompute,param_model__selection,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,254,0.009080886840820312,0.004357204105933101,0.009886956214904786,0.017900584413525048,1e-10,True,True,cyclic,"{'model__alpha': 1e-10, 'model__fit_intercept': True, 'model__precompute': True, 'model__selection': 'cyclic'}",-5910593.206883208,-4665649.912653629,-3665864.3153152186,-4710386.077909115,-6214580.777571657,-4451683.4550789455,-3318190.2719048476,-5311901.553558094,-2357981.0299758213,-5171105.5829909565,-4577793.61838415,1128421.3454815336,74,-2922750.3755995706,-3448495.402867647,-2816367.0180082917,-3555461.998410184,-3414063.3824659535,-3462349.524149698,-3648668.0354909073,-3283951.5308794635,-3335018.533020579,-3113369.6225152616,-3300049.5423407555,257056.76496466494
0,254,0.017774176597595216,0.02281811851279885,0.008314871788024902,0.017577783106686597,1e-10,True,True,random,"{'model__alpha': 1e-10, 'model__fit_intercept': True, 'model__precompute': True, 'model__selection': 'random'}",-5910021.274254003,-4673725.378671441,-3661283.6351815546,-4710940.390507796,-6216839.959562239,-4451732.180595184,-3314669.96135232,-5311537.182135585,-2358748.1590572335,-5168923.21465174,-4577842.13359691,1129228.690454937,76,-2923019.066988054,-3446160.246562663,-2816816.4289963227,-3555389.33708342,-3413865.4860072974,-3462330.334677281,-3648184.3927542823,-3283858.5270726294,-3334841.4685441954,-3113341.5253805066,-3299780.681406665,256716.13824432186
0,254,0.024496006965637206,0.013950246082364923,0.010214543342590332,0.01655105590384896,1e-10,True,False,cyclic,"{'model__alpha': 1e-10, 'model__fit_intercept': True, 'model__precompute': False, 'model__selection': 'cyclic'}",-5910593.206883226,-4665649.912653532,-3665864.3153150827,-4710386.077909317,-6214580.777571833,-4451683.455078861,-3318190.2719046962,-5311901.553558134,-2357981.02997576,-5171105.58299126,-4577793.618384169,1128421.3454816223,75,-2922750.3755995575,-3448495.4028677116,-2816367.0180082824,-3555461.998410181,-3414063.382465974,-3462349.524149725,-3648668.035490946,-3283951.530879467,-3335018.533020601,-3113369.6225153157,-3300049.542340776,257056.76496467626
0,254,0.026390838623046874,0.014563354350825,0.0019185781478881837,0.00011996688673575894,1e-10,True,False,random,"{'model__alpha': 1e-10, 'model__fit_intercept': True, 'model__precompute': False, 'model__selection': 'random'}",-5909771.941065068,-4672532.458458812,-3660629.9710018355,-4710554.704132071,-6216922.430543122,-4452287.519688856,-3312900.380399802,-5311404.256196849,-2359141.303612539,-5169692.217099777,-4577583.7182198735,1129395.9660531466,44,-2923014.6304360377,-3446251.2179100974,-2816864.2789685414,-3555433.909712194,-3413955.419524955,-3462115.74227576,-3648133.817344015,-3283885.660044843,-3334800.3152150544,-3113374.1456285063,-3299782.913706001,256697.87167616157
0,254,0.010470366477966309,0.006062880192873285,0.0017726421356201172,9.791999364825119e-05,1e-10,False,True,cyclic,"{'model__alpha': 1e-10, 'model__fit_intercept': False, 'model__precompute': True, 'model__selection': 'cyclic'}",-5910488.79212175,-4665883.699675309,-3666331.3896249807,-4710602.875741641,-6214259.498299565,-4451719.831239261,-3317975.712144796,-5311875.329384999,-2358055.4392523123,-5170571.437086866,-4577776.4004571475,1128308.1758250445,59,-2922806.2265285333,-3448388.289148289,-2816347.013831595,-3555299.0740774004,-3414071.4117765445,-3462340.234061236,-3648583.369846322,-3283905.9621284227,-3335010.768503759,-3113321.5992311123,-3300007.3949133214,257021.91665353754
0,254,0.010219383239746093,0.01080997512436349,0.0017182588577270507,8.350318958731528e-05,1e-10,False,True,random,"{'model__alpha': 1e-10, 'model__fit_intercept': False, 'model__precompute': True, 'model__selection': 'random'}",-5910160.71037091,-4673047.470473883,-3660635.7127667014,-4714252.572103159,-6216619.353780815,-4451888.555378242,-3312210.536570289,-5312497.518640097,-2361741.2497245027,-5156756.954476863,-4576981.063428545,1128416.9136748018,38,-2923131.5787950954,-3446780.17854982,-2817006.702788624,-3554202.7743988778,-3413703.0497309593,-3462271.437343885,-3647097.63076233,-3283550.825208435,-3334265.4902354125,-3112382.359804602,-3299439.2027618038,256486.82319094965
0,254,0.032933712005615234,0.031032241347481886,0.012349414825439452,0.0312628025877445,1e-10,False,False,cyclic,"{'model__alpha': 1e-10, 'model__fit_intercept': False, 'model__precompute': False, 'model__selection': 'cyclic'}",-5910488.792122743,-4665883.699675199,-3666331.389624598,-4710602.875742304,-6214259.498299607,-4451719.831239468,-3317975.712144681,-5311875.329384979,-2358055.43925227,-5170571.437086992,-4577776.400457284,1128308.1758252298,60,-2922806.2265286874,-3448388.28914823,-2816347.0138316294,-3555299.0740773794,-3414071.411776385,-3462340.234061329,-3648583.3698461363,-3283905.962128625,-3335010.768503791,-3113321.5992311696,-3300007.3949133367,257021.91665347156
0,254,0.05549254417419434,0.03295634733349512,0.00382387638092041,0.005360696931725348,1e-10,False,False,random,"{'model__alpha': 1e-10, 'model__fit_intercept': False, 'model__precompute': False, 'model__selection': 'random'}",-5911125.657559313,-4669726.211815184,-3663895.8160767877,-4712798.007371441,-6216418.588707359,-4452716.5730603915,-3308583.793087462,-5312059.247402485,-2360737.238204292,-5159100.522158271,-4576716.165544299,1128879.1813998725,35,-2922647.5785451545,-3447363.8312872816,-2816765.010285439,-3554306.7736072894,-3413665.2758926465,-3461921.588063728,-3646212.293779576,-3283363.694547005,-3334444.1551983566,-3112368.8126230245,-3299305.90138295,256508.1087138329
0,254,0.005114698410034179,0.00035152233817112473,0.005930948257446289,0.012797219287481374,1e-08,True,True,cyclic,"{'model__alpha': 1e-08, 'model__fit_intercept': True, 'model__precompute': True, 'model__selection': 'cyclic'}",-5910593.206883055,-4665649.912653515,-3665864.3153151725,-4710386.077908861,-6214580.777571707,-4451683.4550781455,-3318190.27190374,-5311901.553557946,-2357981.0299759908,-5171105.582990775,-4577793.61838389,1128421.3454816027,72,-2922750.3755994723,-3448495.402867704,-2816367.0180082633,-3555461.9984101267,-3414063.3824659074,-3462349.524149696,-3648668.0354905585,-3283951.530879386,-3335018.5330205634,-3113369.6225152174,-3300049.5423406893,257056.7649646363
0,254,0.006281590461730957,0.0025008149007734962,0.006993150711059571,0.013419091201610618,1e-08,True,True,random,"{'model__alpha': 1e-08, 'model__fit_intercept': True, 'model__precompute': True, 'model__selection': 'random'}",-5910382.0249373745,-4676341.687118501,-3661438.0824834798,-4711387.551546339,-6217908.235709893,-4452238.65910124,-3313467.1963922773,-5311016.311377657,-2359123.3953821138,-5168761.466795615,-4578206.46108445,1129454.4730452588,84,-2922881.419198722,-3445238.9419981064,-2816821.774683416,-3555364.813282838,-3413906.6567995567,-3462125.531941114,-3647699.944938536,-3283817.9162501767,-3334796.647812468,-3113352.731800585,-3299600.637870552,256602.43572124076
