iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,20,0.015960311889648436,0.015297030491950508,0.0022495269775390627,0.0003511385707600764,True,10,auto,1,2,10,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 10}",-508909.45,-2000243.9500000002,-8701127.1,-12373900.2,-2806120.5,-823374.2000000002,-5662427.3,-3314366.5999999996,-2915531.0,-789591.1,-3989559.1399999997,3669350.128838033,1081,-1908010.8176470587,-2779346.6117647057,-1840618.1588235293,-1402685.8777777776,-1935491.4944444448,-1377653.95,-1716927.316666667,-1302696.4111111113,-1623138.9111111113,-2423870.116666666,-1831043.966601307,446329.1407819791
0,20,0.033341407775878906,0.010365406486497503,0.006727671623229981,0.010505206515045232,True,10,auto,1,2,50,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 50}",-586202.02,-2124742.22,-8802493.84,-12364520.92,-3242417.84,-180485.2200000002,-5254310.04,-59514.40000000037,-2366338.42,-1210669.48,-3619169.44,3866031.631680883,638,-2372652.2399999998,-2598510.224705883,-1343282.4729411763,-1523549.6422222222,-1309084.5255555557,-1068864.82,-1546055.25,-1004279.9244444445,-1264122.7866666666,-1794270.391111111,-1582467.227764706,503763.04371962306
0,20,0.13311049938201905,0.06648124839475368,0.029265284538269043,0.048023523007895794,True,10,auto,1,2,100,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-587750.295,-1997792.765,-8146000.255,-11693990.19,-3383192.87,-149151.9500000002,-4445008.26,-467183.4199999999,-2703678.63,-1287215.72,-3486096.4354999997,3554237.9071568875,463,-2270252.822941176,-2377525.6447058823,-1511140.8664705884,-1588333.5350000001,-1325138.9455555556,-1211296.86,-1595313.495,-914778.1683333335,-1234115.4877777777,-1908313.6955555554,-1593620.9521339869,445704.8987508959
0,20,0.2618675708770752,0.12123192594119817,0.016724371910095216,0.030078570586218285,True,10,auto,1,2,200,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-658653.38,-2165559.6049999995,-8107364.4125,-11688415.29,-3167618.35,-307865.31499999994,-4716339.645,-461989.5649999995,-2774841.275,-1342600.555,-3539124.7392499996,3525706.2357347775,551,-2275474.6149999998,-2400706.1894117645,-1306121.8682352942,-1511366.4266666663,-1260768.2686111112,-1179640.3422222224,-1589923.7897222224,-1028246.3438888887,-1093577.574722222,-1798029.1641666668,-1544385.458264706,455538.1714896899
0,20,0.6331495761871337,0.20378971618518155,0.016679048538208008,0.015219256600473118,True,10,auto,1,2,400,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-632373.09,-2381284.815,-8138298.959999999,-11607301.5125,-3429702.31,-99566.05500000017,-4359951.16,-650424.2449999992,-2588262.3225,-1419427.4575,-3530659.1927500004,3497071.6523085646,536,-2449054.5732352943,-2435432.6448529414,-1482040.1133823527,-1536142.8718055557,-1292212.5111111114,-1132122.2377777777,-1585987.6947222222,-932641.6204166667,-1136905.4552777777,-1772544.6566666667,-1575508.4379248368,493383.19590908394
0,20,0.7700389146804809,0.17897488153132957,0.03935439586639404,0.05656380983865487,True,10,auto,1,2,600,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 600}",-584993.3724999999,-2150453.2316666665,-8123704.3125,-11685366.471666668,-3301192.058333333,-127996.83999999985,-4651956.57,-917478.0116666667,-2605618.395,-1252140.035,-3540089.929833333,3520518.1505594687,552,-2430415.115588235,-2398187.3850000002,-1323213.6982352939,-1510709.9537962964,-1350864.2235185183,-1201841.5390740738,-1566602.8968518518,-939750.1394444443,-1095427.5987962964,-1728473.0233333337,-1554548.5573638345,481597.3488675209
0,20,0.011586952209472656,0.012973581132297912,0.0037532806396484374,0.004172321088243975,True,10,auto,1,5,10,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 10}",-584751.7083333334,-1531172.3017857145,-8919105.395833334,-11741432.41,-4816424.862380953,-128771.1738095237,-4724176.590595239,-929261.7486111112,-2010473.973809524,-1514757.2008333332,-3690032.736599206,3696851.1007418907,730,-2770918.8887394955,-2776403.7757703084,-1336890.7463025206,-1533264.0509722221,-1810550.6398544973,-1648160.8798148145,-1798508.7576014108,-1631752.862458113,-2032611.2295194003,-2206176.1393121695,-1954523.7970344953,470473.46667734673
0,20,0.0676992416381836,0.02916271479908581,0.007849407196044923,0.008418988304188264,True,10,auto,1,5,50,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 50}",-652944.2064404765,-2239687.842166667,-7856438.55817857,-11474138.962067101,-2290212.1570476186,-26696.686039682478,-4147371.939634922,-81898.3267777767,-2066621.3244761904,-1238689.0225158727,-3207469.902534488,3524228.3938743817,153,-2337546.1986559294,-2760775.4343734817,-1603288.3334710544,-1880437.510026575,-1704944.3009537035,-1211125.495121613,-2030927.0623386246,-1243839.2585216046,-1511228.2456812172,-2135563.3827592586,-1841967.5221903059,464116.4779885756
0,20,0.11386501789093018,0.05388415512608389,0.01625058650970459,0.027301228375977114,True,10,auto,1,5,100,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-1250032.4421646823,-2881100.7485993872,-7743759.956414684,-11595897.276819626,-2638712.738891053,-176236.1509722229,-4555543.346746033,-237281.34588492103,-2284997.3250952377,-1505472.1621071429,-3486903.3493694984,3435110.2718221517,466,-2488123.7876832397,-2937995.588586432,-1865650.898794818,-1781999.5698147556,-1632560.9751095474,-1387711.8797537482,-1990501.6917059086,-1310328.0186640213,-1512789.8499052029,-1980849.8539276894,-1888851.2113945365,477861.9246328667
0,20,0.2573098182678223,0.059450411314972196,0.023463177680969238,0.025494731832615525,True,10,auto,1,5,200,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-784809.2441646829,-2490356.2268493855,-8389402.498339286,-11538704.415345239,-3409624.2749264073,-29096.462749999017,-4517900.624003968,-315481.5364246052,-2585366.018039682,-1304242.6614503963,-3536498.396229365,3546771.345894011,547,-2556190.431269025,-2785917.8493778855,-1547364.9253809513,-1767034.8859763711,-1703497.9428847001,-1277038.9045805773,-1951528.0866136455,-1320349.3784510589,-1487933.1671062594,-2039923.635011795,-1843677.9206652269,477542.35824303393
