iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__fit_intercept,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,763,0.00684814453125,0.005539717789653391,0.0017796993255615235,4.242835298424759e-05,1e-10,True,"{'model__alpha': 1e-10, 'model__fit_intercept': True}",-3168046.6068635974,-3525448.0434356704,-3197513.075148979,-3816541.7764667114,-3528937.633966272,-3607288.6707164953,-3522136.8497281955,-3907838.770691649,-3853063.4363187286,-4108813.806671805,-3623562.86700081,287112.98522491974,14,-3249074.6834631404,-3580386.1493484606,-3421363.3726507304,-3373308.6155036627,-3531132.3351556263,-3446569.239135885,-3247626.864027201,-3128396.8185771983,-3371748.009309443,-3259103.7023701193,-3360870.9789541466,133482.51593816164
0,763,0.004277420043945312,0.0011304345673743387,0.0034254312515258787,0.004817185090053191,1e-10,False,"{'model__alpha': 1e-10, 'model__fit_intercept': False}",-3168046.6068965434,-3525448.0434557907,-3197513.0751330587,-3816541.7764114267,-3528937.633980212,-3607288.670739541,-3522136.8497431697,-3907838.7706885487,-3853063.436329038,-4108813.8066579676,-3623562.8670035293,287112.9852147111,15,-3249074.6834696224,-3580386.1493475433,-3421363.3726501013,-3373308.615500984,-3531132.3351588445,-3446569.2391423304,-3247626.864023078,-3128396.818582686,-3371748.0093119163,-3259103.702377078,-3360870.9789564186,133482.5159371224
0,763,0.0051898002624511715,0.002245279578423378,0.0018132686614990234,0.00016535834021804725,1e-08,True,"{'model__alpha': 1e-08, 'model__fit_intercept': True}",-3168046.6067816056,-3525448.043299351,-3197513.075126249,-3816541.776274161,-3528937.6336917193,-3607288.6702918136,-3522136.84930199,-3907838.770319141,-3853063.436286453,-4108813.8061890593,-3623562.8667561538,287112.9851384777,13,-3249074.6833918854,-3580386.149264879,-3421363.3725264147,-3373308.615401265,-3531132.3349832003,-3446569.239033678,-3247626.86395938,-3128396.8185015637,-3371748.0091976244,-3259103.702272023,-3360870.978853191,133482.5159207351
0,763,0.0038053035736083985,0.0005639868285011659,0.0034340858459472657,0.002983261884362029,1e-08,False,"{'model__alpha': 1e-08, 'model__fit_intercept': False}",-3168046.6100757904,-3525448.04531152,-3197513.0735340454,-3816541.770745641,-3528937.6350858645,-3607288.6725961063,-3522136.8507989263,-3907838.770009804,-3853063.43731755,-4108813.804804689,-3623562.8670279933,287112.98411768617,16,-3249074.6840399182,-3580386.1491730944,-3421363.37246349,-3373308.615133437,-3531132.33530499,-3446569.2396779684,-3247626.863547012,-3128396.819050148,-3371748.009444965,-3259103.702967944,-3360870.979080296,133482.5158168296
0,763,0.0048301458358764645,0.0022739549328734065,0.0022850513458251955,0.0010635679211938827,1e-05,True,"{'model__alpha': 1e-05, 'model__fit_intercept': True}",-3168046.5240436117,-3525447.905740708,-3197513.0521885077,-3816541.5819748044,-3528937.3566430323,-3607288.2417502254,-3522136.419222058,-3907838.3944291337,-3853063.403717511,-4108813.319055046,-3623562.619876464,287112.89791150973,12,-3249074.6114883157,-3580386.0649229577,-3421363.2470810106,-3373308.512073582,-3531132.160990305,-3446569.135896714,-3247626.795521794,-3128396.742179316,-3371747.896362697,-3259103.6032838635,-3360870.876980056,133482.49833581442
0,763,0.005911326408386231,0.00465300325096049,0.001854848861694336,0.00011600904181510644,1e-05,False,"{'model__alpha': 1e-05, 'model__fit_intercept': False}",-3168049.8181015244,-3525449.9178430564,-3197511.4600444934,-3816536.053777941,-3528938.750736665,-3607290.5459497836,-3522137.916098162,-3907838.085108834,-3853064.4347799295,-4108811.9347478966,-3623562.8917188286,287111.8771775116,17,-3249075.259494876,-3580385.9731412414,-3421363.184155688,-3373308.2442615638,-3531132.482766822,-3446569.780161417,-3247626.38317483,-3128397.290740548,-3371748.143693892,-3259104.299172442,-3360871.104076332,133482.3944350081
0,763,0.00936875343322754,0.008664770005822343,0.001799798011779785,0.00012329516399791374,0.0001,True,"{'model__alpha': 0.0001, 'model__fit_intercept': True}",-3168045.7787056435,-3525446.6664632284,-3197512.8454790907,-3816539.831559259,-3528934.8607645775,-3607284.3810553513,-3522132.544667173,-3907835.008089156,-3853063.110283518,-4108808.9305555657,-3623560.3957622563,287112.11210664816,11,-3249073.963725838,-3580385.30509137,-3421362.1169669954,-3373307.5812020553,-3531130.5935193263,-3446568.2067425423,-3247626.178968867,-3128396.054597946,-3371746.879869698,-3259102.7114946586,-3360869.9592179297,133482.33991793048
0,763,0.0035067081451416017,0.0003211639467744368,0.004979610443115234,0.00964173393323821,0.0001,False,"{'model__alpha': 0.0001, 'model__fit_intercept': False}",-3168078.707845895,-3525466.7815010473,-3197496.929222927,-3816484.5784118576,-3528948.7969834977,-3607307.4148931447,-3522147.508386738,-3907831.9161496493,-3853073.417479037,-4108795.093719682,-3623563.114459348,287101.9099835081,18,-3249080.441519209,-3580384.3875283874,-3421361.487739199,-3373304.9044940067,-3531133.8101170342,-3446574.6471671737,-3247622.057449764,-3128401.538282428,-3371749.352262425,-3259109.6674276595,-3360872.229398729,133481.3012987085
0,763,0.004805755615234375,0.0019611957839231297,0.0019954681396484376,0.0006098954649822067,0.001,True,"{'model__alpha': 0.001, 'model__fit_intercept': True}",-3168038.330209349,-3525434.272655397,-3197510.772140717,-3816522.3302847845,-3528909.9074878185,-3607245.778084362,-3522093.8029886624,-3907801.150284475,-3853060.1739521255,-4108765.054988567,-3623538.157307626,287104.25640243303,10,-3249067.487825104,-3580377.7073241863,-3421350.8182780035,-3373298.2733282433,-3531114.922034115,-3446558.915960291,-3247620.0136281922,-3128389.1794233103,-3371736.7186893616,-3259093.7932094233,-3360860.7829700233,133480.75621644105
0,763,0.0034679174423217773,0.00025152213747744204,0.004059243202209473,0.006849509173686159,0.001,False,"{'model__alpha': 0.001, 'model__fit_intercept': False}",-3168366.4821499325,-3525634.826537484,-3197352.126086604,-3815972.6656283783,-3529048.799859833,-3607475.303932176,-3522242.938342806,-3907770.3567294637,-3853162.9045595787,-4108627.307331228,-3623565.371115749,287002.75405652804,19,-3249132.039416968,-3580368.5570235928,-3421344.5285355547,-3373275.071710189,-3531147.2709542024,-3446623.098849047,-3247578.9925702806,-3128443.824246243,-3371761.35109833,-3259163.0586106717,-3360883.779301508,133470.47869811414
0,763,0.010637259483337403,0.0133450154161251,0.0063114166259765625,0.012997485553815824,0.01,True,"{'model__alpha': 0.01, 'model__fit_intercept': True}",-3167964.330229286,-3525310.2323065717,-3197489.4181662356,-3816347.604690163,-3528660.9234277047,-3606860.1456222134,-3521706.7727195965,-3907463.130546817,-3853030.6127619087,-4108327.2388073504,-3623316.040927784,287025.93305939116,9,-3249002.9003794105,-3580301.7844900806,-3421238.0754507445,-3373205.2786081843,-3530958.528520969,-3446466.0840154234,-3247558.37907811,-3128320.4914525356,-3371635.4798162053,-3259004.571609476,-3360769.1573421145,133464.96675654297
0,763,0.004899835586547852,0.004522882522889966,0.0017460346221923827,0.00012790134394406112,0.01,False,"{'model__alpha': 0.01, 'model__fit_intercept': False}",-3171136.160839937,-3527258.122460635,-3195952.7852337966,-3811133.188275224,-3530004.7124407827,-3609077.2718817387,-3523150.14425329,-3907167.2943501417,-3854025.238424646,-4107009.0965703866,-3623591.401473058,286060.8040186256,20,-3249749.847253423,-3580212.7283620904,-3421175.424425773,-3373029.91969165,-3531314.3336733812,-3447086.6248503802,-3247166.703295658,-3128848.469651766,-3371876.7601700844,-3259669.1226893556,-3361012.9934063563,133361.57545151367
0,763,0.007899141311645508,0.010095906144881766,0.003892374038696289,0.004387669624128786,1,True,"{'model__alpha': 1, 'model__fit_intercept': True}",-3174834.190739242,-3511787.63411171,-3191008.7568897256,-3799605.0842960295,-3505756.78765417,-3569782.359835619,-3485596.2830522144,-3875382.1963754753,-3848474.2827998563,-4068080.297506118,-3603030.7873260155,278411.3223754121,8,-3243811.4322118745,-3573630.003514829,-3412801.4225047436,-3364068.3228159896,-3518973.964964521,-3438253.4493386615,-3241853.34113117,-3121957.604976346,-3365690.399584508,-3250150.0318875867,-3353118.9972930234,132509.30382998055
