iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__average,param_model__fit_intercept,param_model__learning_rate,param_model__loss,param_model__max_iter,param_model__penalty,param_model__shuffle,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,20,0.003898906707763672,0.0001316390050586007,0.006246113777160644,0.013406629399775055,1e-10,True,True,optimal,squared_error,1000,l1,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__shuffle': True}",-919367514922866.0,-441614187212898.06,-899778589089492.2,-1636173377901019.0,-1353936243525013.8,-7734265771193.727,-719861300429181.0,-293861856223149.0,-524581570926604.2,-2279299547392101.5,-907620845339351.8,647867198191703.5,2976,-715233552345424.2,-944329864064303.8,-737782019838110.0,-771758574930104.8,-1189776725615489.8,-582072834335916.2,-748320385150548.4,-1372115695868396.8,-894973763362985.0,-1267422116907150.2,-922378553241843.0,252948366477371.34
0,20,0.007509589195251465,0.006108098625883156,0.0074719667434692385,0.01685690670381447,1e-10,True,True,optimal,squared_error,1000,l1,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__shuffle': False}",-56663419998703.22,-284846713045346.6,-459734712339316.9,-2119898733117707.0,-1564565209610863.8,-516160240522502.9,-240429117920040.4,-725721402109067.6,-288531351572422.25,-995000648298304.2,-725155154853427.4,624757159670509.5,2959,-898989584259894.5,-838614810476015.2,-951296929346880.1,-785723114712294.6,-950574999680269.5,-840015861600770.0,-608407796162454.5,-920104278309599.0,-441544366822884.6,-696704378436202.0,-793197611980726.5,157635352371963.6
0,20,0.009485530853271484,0.004996872264489434,0.005370545387268067,0.010332232473100559,1e-10,True,True,optimal,squared_error,1000,l2,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__shuffle': True}",-2054430600305174.8,-596190632191840.4,-1825815420872331.2,-548823780717317.3,-1039829384891462.0,-486610980441006.1,-1355370553576216.8,-63998897902408.67,-765480046699776.5,-131694263924485.73,-886824456152202.0,641001198744042.8,2974,-1106656422638869.4,-987104600579459.4,-873617984371977.1,-970681541205594.0,-964415973212288.4,-1120981842621628.6,-978243617939767.5,-828298884823000.4,-1121724602796586.2,-717501056654113.1,-966922652684328.4,125663333912347.05
0,20,0.006783437728881836,0.004134930113833206,0.0018027544021606446,0.00022025740248548433,1e-10,True,True,optimal,squared_error,1000,l2,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__shuffle': False}",-56662965674229.29,-284845639273523.4,-459734501792648.1,-2119893384626819.2,-1564562249304487.8,-516159588187622.6,-240430177658071.88,-725720045623247.2,-288529022530766.2,-995000173005668.4,-725153774767708.4,624755782855618.5,2956,-898988301221536.2,-838613436358914.9,-951295862281775.0,-785721869120101.2,-950574139210859.4,-840014856447445.8,-608407005100667.0,-920102892581317.2,-441543549441671.44,-696703340761900.1,-793196525252618.8,157635236834256.12
0,20,0.0059215307235717775,0.0038750645342494543,0.001738595962524414,6.06457199706854e-05,1e-10,True,True,optimal,squared_error,5000,l1,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 5000, 'model__penalty': 'l1', 'model__shuffle': True}",-236117374063616.9,-431080094321275.6,-1227582923902980.5,-413871783328421.56,-582414719576560.8,-640069792089421.8,-594756605612999.4,-728687602550271.8,-1528981479199649.2,-198427789512102.06,-658199016415729.9,399793313573881.44,2954,-726341035432320.2,-1347695569596928.8,-551678532178344.7,-624163457523405.9,-893804993659409.1,-726039238201929.5,-756749274654782.2,-900058002638128.5,-1062607647527822.6,-994510724083522.4,-858364847549659.2,222904142032660.9
0,20,0.011153793334960938,0.011985638529227825,0.0017701148986816405,6.456780104001036e-05,1e-10,True,True,optimal,squared_error,5000,l1,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 5000, 'model__penalty': 'l1', 'model__shuffle': False}",-56663419998703.22,-284846713045346.6,-459734712339316.9,-2119898733117707.0,-1564565209610863.8,-516160240522502.9,-240429117920040.4,-725721402109067.6,-288531351572422.25,-995000648298304.2,-725155154853427.4,624757159670509.5,2959,-898989584259894.5,-838614810476015.2,-951296929346880.1,-785723114712294.6,-950574999680269.5,-840015861600770.0,-608407796162454.5,-920104278309599.0,-441544366822884.6,-696704378436202.0,-793197611980726.5,157635352371963.6
0,20,0.008339333534240722,0.005313479591656963,0.0017640352249145507,7.278067954172126e-05,1e-10,True,True,optimal,squared_error,5000,l2,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 5000, 'model__penalty': 'l2', 'model__shuffle': True}",-647718355704091.5,-186447449618863.38,-970315590009049.5,-151542627870689.44,-1373020524428772.2,-56171808979715.55,-691116057171847.1,-504371897656439.44,-2832970086217577.5,-598969652445507.9,-801264405010255.4,774815459764770.2,2973,-771391187473717.0,-906030173803665.8,-823388709655733.0,-390027240509262.2,-964405652407035.2,-894275791648233.0,-731203182443080.0,-1047604026168404.2,-930759846593846.6,-793493559821221.9,-825257937052419.9,171290482483255.4
0,20,0.0067061901092529295,0.006133854517065916,0.0025635719299316405,0.0025356959894195764,1e-10,True,True,optimal,squared_error,5000,l2,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 5000, 'model__penalty': 'l2', 'model__shuffle': False}",-56662965674229.29,-284845639273523.4,-459734501792648.1,-2119893384626819.2,-1564562249304487.8,-516159588187622.6,-240430177658071.88,-725720045623247.2,-288529022530766.2,-995000173005668.4,-725153774767708.4,624755782855618.5,2956,-898988301221536.2,-838613436358914.9,-951295862281775.0,-785721869120101.2,-950574139210859.4,-840014856447445.8,-608407005100667.0,-920102892581317.2,-441543549441671.44,-696703340761900.1,-793196525252618.8,157635236834256.12
0,20,0.004245662689208984,0.0027966652099016497,0.0016892910003662109,6.474416198229242e-05,1e-10,True,True,optimal,squared_error,15000,l1,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 15000, 'model__penalty': 'l1', 'model__shuffle': True}",-696790473023597.0,-64897502730125.664,-1207879496994914.2,-615747378289526.0,-1319769923286865.2,-1702271789800290.0,-1095365996926359.2,-505305731908461.2,-962029503883854.8,-2105685656894497.0,-1027574345373849.2,567701621299602.4,2986,-766577325929144.6,-671003238540807.1,-715228243425173.0,-617957273812296.0,-892405940139002.6,-978443378689582.0,-870959161414441.5,-949512606503196.5,-670201535142551.0,-1013856470497860.0,-814614517409405.5,136491594614775.06
0,20,0.0050490379333496095,0.003370019880565905,0.0017097711563110352,7.8699517233416e-05,1e-10,True,True,optimal,squared_error,15000,l1,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 15000, 'model__penalty': 'l1', 'model__shuffle': False}",-56663419998703.22,-284846713045346.6,-459734712339316.9,-2119898733117707.0,-1564565209610863.8,-516160240522502.9,-240429117920040.4,-725721402109067.6,-288531351572422.25,-995000648298304.2,-725155154853427.4,624757159670509.5,2959,-898989584259894.5,-838614810476015.2,-951296929346880.1,-785723114712294.6,-950574999680269.5,-840015861600770.0,-608407796162454.5,-920104278309599.0,-441544366822884.6,-696704378436202.0,-793197611980726.5,157635352371963.6
