iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__epsilon,param_model__fit_intercept,param_model__intercept_scaling,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,28,0.0052825212478637695,0.004348406765009184,0.0020009517669677735,0.0011308086247172556,0.1,0,True,0.5,"{'model__C': 0.1, 'model__epsilon': 0, 'model__fit_intercept': True, 'model__intercept_scaling': 0.5}",-1783010.6203173036,-662841.2073257244,-7180768.40685207,-10212204.46888272,-7589371.664597587,-2778923.489947293,-2023189.330457422,-9738739.819339931,-3895892.327484537,-21513320.528856725,-6737826.186406131,5897001.668220359,349,-7034504.3340575555,-7322076.91270423,-7852956.88308013,-6710450.785499791,-4778610.177787567,-5292869.137906614,-4648056.975060794,-6816342.165057013,-8498381.51448143,-5808926.603624073,-6476317.548925919,1234985.9471701982
0,28,0.003257298469543457,0.00032250563936582943,0.001604175567626953,4.102853327275031e-05,0.1,0,True,1,"{'model__C': 0.1, 'model__epsilon': 0, 'model__fit_intercept': True, 'model__intercept_scaling': 1}",-1783008.7453173036,-662839.3323257244,-7180766.53185207,-10212202.59388272,-7589369.789597587,-2778921.614947293,-2023187.455457422,-9738737.944339931,-3895890.452484537,-21513318.653856725,-6737824.311406131,5897001.668220359,344,-7034502.4590575555,-7322075.03770423,-7852955.00808013,-6710448.910499791,-4778608.302787567,-5292867.262906614,-4648055.100060794,-6816340.290057013,-8498379.63948143,-5808924.728624073,-6476315.673925919,1234985.9471701982
0,28,0.0029946565628051758,0.00034613538780224617,0.002805805206298828,0.00372015665443599,0.1,0,True,2,"{'model__C': 0.1, 'model__epsilon': 0, 'model__fit_intercept': True, 'model__intercept_scaling': 2}",-1783001.2453173036,-662831.8323257244,-7180759.03185207,-10212195.09388272,-7589362.289597587,-2778914.114947293,-2023179.955457422,-9738730.444339931,-3895882.952484537,-21513311.153856725,-6737816.811406131,5897001.668220359,339,-7034494.9590575555,-7322067.53770423,-7852947.50808013,-6710441.410499791,-4778600.802787567,-5292859.762906614,-4648047.600060794,-6816332.790057013,-8498372.13948143,-5808917.228624073,-6476308.173925919,1234985.9471701982
0,28,0.006806707382202149,0.011753125210195775,0.0015837669372558594,4.337551509515e-05,0.1,0,True,3,"{'model__C': 0.1, 'model__epsilon': 0, 'model__fit_intercept': True, 'model__intercept_scaling': 3}",-1782988.7453173036,-662819.3323257244,-7180746.53185207,-10212182.59388272,-7589349.789597587,-2778901.614947293,-2023167.455457422,-9738717.944339931,-3895870.452484537,-21513298.653856725,-6737804.311406131,5897001.668220359,304,-7034482.4590575555,-7322055.03770423,-7852935.00808013,-6710428.910499791,-4778588.302787567,-5292847.262906614,-4648035.100060794,-6816320.290057013,-8498359.63948143,-5808904.728624073,-6476295.673925919,1234985.9471701982
0,28,0.0036525487899780273,0.0017758553359475604,0.0016370773315429687,8.726303692744582e-05,0.1,0,True,5,"{'model__C': 0.1, 'model__epsilon': 0, 'model__fit_intercept': True, 'model__intercept_scaling': 5}",-1782948.7453173036,-662779.3323257244,-7180706.53185207,-10212142.59388272,-7589309.789597587,-2778861.614947293,-2023127.455457422,-9738677.944339931,-3895830.452484537,-21513258.653856725,-6737764.311406131,5897001.668220359,259,-7034442.4590575555,-7322015.03770423,-7852895.00808013,-6710388.910499791,-4778548.302787567,-5292807.262906614,-4647995.100060794,-6816280.290057013,-8498319.63948143,-5808864.728624073,-6476255.673925919,1234985.9471701982
0,28,0.0035920143127441406,0.0012085111867258394,0.0016620159149169922,0.00010609503541723687,0.1,0,False,0.5,"{'model__C': 0.1, 'model__epsilon': 0, 'model__fit_intercept': False, 'model__intercept_scaling': 0.5}",-1783011.2453173036,-662841.8323257244,-7180769.03185207,-10212205.09388272,-7589372.289597587,-2778924.114947293,-2023189.955457422,-9738740.444339931,-3895892.952484537,-21513321.153856725,-6737826.811406131,5897001.668220359,354,-7034504.9590575555,-7322077.53770423,-7852957.50808013,-6710451.410499791,-4778610.802787567,-5292869.762906614,-4648057.600060794,-6816342.790057013,-8498382.13948143,-5808927.228624073,-6476318.173925919,1234985.9471701982
0,28,0.010673904418945312,0.015110915826278886,0.008091902732849121,0.012828993956813046,0.1,0,False,1,"{'model__C': 0.1, 'model__epsilon': 0, 'model__fit_intercept': False, 'model__intercept_scaling': 1}",-1783011.2453173036,-662841.8323257244,-7180769.03185207,-10212205.09388272,-7589372.289597587,-2778924.114947293,-2023189.955457422,-9738740.444339931,-3895892.952484537,-21513321.153856725,-6737826.811406131,5897001.668220359,354,-7034504.9590575555,-7322077.53770423,-7852957.50808013,-6710451.410499791,-4778610.802787567,-5292869.762906614,-4648057.600060794,-6816342.790057013,-8498382.13948143,-5808927.228624073,-6476318.173925919,1234985.9471701982
0,28,0.0030512332916259764,0.0009617972254311921,0.00159912109375,8.86775333598294e-05,0.1,0,False,2,"{'model__C': 0.1, 'model__epsilon': 0, 'model__fit_intercept': False, 'model__intercept_scaling': 2}",-1783011.2453173036,-662841.8323257244,-7180769.03185207,-10212205.09388272,-7589372.289597587,-2778924.114947293,-2023189.955457422,-9738740.444339931,-3895892.952484537,-21513321.153856725,-6737826.811406131,5897001.668220359,354,-7034504.9590575555,-7322077.53770423,-7852957.50808013,-6710451.410499791,-4778610.802787567,-5292869.762906614,-4648057.600060794,-6816342.790057013,-8498382.13948143,-5808927.228624073,-6476318.173925919,1234985.9471701982
0,28,0.009602046012878418,0.018537765687134108,0.0016190052032470704,0.00013034080963598396,0.1,0,False,3,"{'model__C': 0.1, 'model__epsilon': 0, 'model__fit_intercept': False, 'model__intercept_scaling': 3}",-1783011.2453173036,-662841.8323257244,-7180769.03185207,-10212205.09388272,-7589372.289597587,-2778924.114947293,-2023189.955457422,-9738740.444339931,-3895892.952484537,-21513321.153856725,-6737826.811406131,5897001.668220359,354,-7034504.9590575555,-7322077.53770423,-7852957.50808013,-6710451.410499791,-4778610.802787567,-5292869.762906614,-4648057.600060794,-6816342.790057013,-8498382.13948143,-5808927.228624073,-6476318.173925919,1234985.9471701982
0,28,0.005775833129882812,0.006086293309247443,0.003342556953430176,0.005161115386740157,0.1,0,False,5,"{'model__C': 0.1, 'model__epsilon': 0, 'model__fit_intercept': False, 'model__intercept_scaling': 5}",-1783011.2453173036,-662841.8323257244,-7180769.03185207,-10212205.09388272,-7589372.289597587,-2778924.114947293,-2023189.955457422,-9738740.444339931,-3895892.952484537,-21513321.153856725,-6737826.811406131,5897001.668220359,354,-7034504.9590575555,-7322077.53770423,-7852957.50808013,-6710451.410499791,-4778610.802787567,-5292869.762906614,-4648057.600060794,-6816342.790057013,-8498382.13948143,-5808927.228624073,-6476318.173925919,1234985.9471701982
