iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__average,param_model__fit_intercept,param_model__learning_rate,param_model__loss,param_model__max_iter,param_model__penalty,param_model__shuffle,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,20,0.0064604759216308595,0.0047349597412567656,0.0021890640258789063,8.265062630907912e-05,1e-10,True,True,optimal,squared_error,1000,l1,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__shuffle': True}",-9.148917518154515e+18,-1.1216589539948454e+19,-1.965877316751967e+16,,,,,,,,,,1511,-1.930849290919807e+16,-1.0299840261140496e+17,-2.8989629653568332e+16,-3.3010884226035644e+16,-1.896964881633362e+16,-9.913142238034918e+16,-2.0310390596478772e+16,-5.8385826159767864e+16,-5.915731293427902e+16,-8.056060306831093e+16,-5.208226133557264e+16,3.1279207259348996e+16
0,20,0.0038712739944458006,0.00036147474234418816,0.0020642995834350584,0.00019107186973043585,1e-10,True,True,optimal,squared_error,1000,l1,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__shuffle': False}",-5.060009439874591e+18,-5.559462205714952e+17,-1.5681848465026032e+16,,,,,,,,,,2007,-2.2429316939125924e+16,-6.660595726182347e+16,-1.1087154907651428e+16,-2.672553420826689e+16,-5.31622666856267e+16,-4.6243397412527704e+16,-7.476817005985971e+16,-3.5040378904520332e+16,-1.845233597463968e+16,-4.8228400663512584e+16,-4.027429130175544e+16,2.0014181796808444e+16
0,20,0.003609752655029297,0.0001577792551216202,0.002009415626525879,0.00014420084882099725,1e-10,True,True,optimal,squared_error,1000,l2,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__shuffle': True}",-5.821037026090307e+18,-2.0281516477117137e+19,-4.293044986328065e+16,,,,,,,,,,2008,-1.1836346590438688e+16,-1.4447811223012982e+17,-2.0101063830150836e+16,-2.40038927272648e+16,-2.3820868328674124e+16,-2.3283472876103904e+16,-4.3818608531387976e+16,-4.673825141900599e+16,-4.516475538706788e+16,-4.576085574309309e+16,-4.290062276633171e+16,3.59689155159246e+16
0,20,0.0034234046936035155,0.00013740701253491273,0.001898956298828125,8.697062719300241e-05,1e-10,True,True,optimal,squared_error,1000,l2,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__shuffle': False}",-5.060000215861562e+18,-5.559380153907677e+17,-1.568185531781416e+16,,,,,,,,,,2009,-2.2429261500188468e+16,-6.660562908950042e+16,-1.1087126585056588e+16,-2.6725426120543224e+16,-5.316209901101811e+16,-4.6243270495535976e+16,-7.476793517804643e+16,-3.5040253314287644e+16,-1.8452289841348064e+16,-4.82282634334815e+16,-4.027415545690063e+16,2.0014102808071692e+16
0,20,0.0034660577774047853,0.00015415925009026627,0.0019228458404541016,0.00011761224997197244,1e-10,True,True,optimal,squared_error,5000,l1,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 5000, 'model__penalty': 'l1', 'model__shuffle': True}",-1.411829772717734e+18,-9.31119038781028e+18,-1.4874478695142067e+17,,,,,,,,,,2010,-1.7106457324064364e+16,-1.528661325973156e+17,-1.7076268356955028e+16,-1.6371004104837568e+16,-2.8839510913508196e+16,-6.048316196903936e+16,-6.458816521091944e+16,-4.489170000041657e+16,-6.142192883082949e+16,-1.2444303959517344e+17,-5.88087368903059e+16,4.423931314819028e+16
0,20,0.0032288074493408204,0.00024807359093996896,0.001863241195678711,9.743312962045121e-05,1e-10,True,True,optimal,squared_error,5000,l1,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 5000, 'model__penalty': 'l1', 'model__shuffle': False}",-5.060009439874591e+18,-5.559462205714952e+17,-1.5681848465026032e+16,,,,,,,,,,2011,-2.2429316939125924e+16,-6.660595726182347e+16,-1.1087154907651428e+16,-2.672553420826689e+16,-5.31622666856267e+16,-4.6243397412527704e+16,-7.476817005985971e+16,-3.5040378904520332e+16,-1.845233597463968e+16,-4.8228400663512584e+16,-4.027429130175544e+16,2.0014181796808444e+16
0,20,0.0032913684844970703,0.00020921661638774987,0.0019118547439575194,7.137007101443743e-05,1e-10,True,True,optimal,squared_error,5000,l2,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 5000, 'model__penalty': 'l2', 'model__shuffle': True}",-3.5609362871287194e+18,-6.382799994831578e+18,-3.0579937596858468e+16,,,,,,,,,,2012,-3.674817594105218e+16,-4.746655815408266e+16,-2.5159190943086076e+16,-3.912158085747911e+16,-4.932019677311608e+16,-5.712040832048495e+16,-3.9848308489933256e+16,-6.50762630316404e+16,-4.601632673504009e+16,-7.103352183476332e+16,-4.7691053108067816e+16,1.3053406439196802e+16
0,20,0.003283524513244629,0.0002248485777389386,0.0018498897552490234,9.46820185624908e-05,1e-10,True,True,optimal,squared_error,5000,l2,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 5000, 'model__penalty': 'l2', 'model__shuffle': False}",-5.060000215861562e+18,-5.559380153907677e+17,-1.568185531781416e+16,,,,,,,,,,2013,-2.2429261500188468e+16,-6.660562908950042e+16,-1.1087126585056588e+16,-2.6725426120543224e+16,-5.316209901101811e+16,-4.6243270495535976e+16,-7.476793517804643e+16,-3.5040253314287644e+16,-1.8452289841348064e+16,-4.82282634334815e+16,-4.027415545690063e+16,2.0014102808071692e+16
0,20,0.00331268310546875,0.00014694366622637853,0.0018553972244262696,7.72675919615859e-05,1e-10,True,True,optimal,squared_error,15000,l1,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 15000, 'model__penalty': 'l1', 'model__shuffle': True}",-4.930412748618803e+18,-4.840253014597761e+18,-2.0960389420589172e+16,,,,,,,,,,2014,-2.0128498065924044e+16,-7.78776193814011e+16,-1.5836048299845324e+16,-3.4485109194365196e+16,-3.958518899375626e+16,-3.993951671576525e+16,-8.925590876088906e+16,-5.19408608721003e+16,-5.8966559087894056e+16,-2.0001299096741085e+17,-6.2802830033935144e+16,5.077105742498984e+16
0,20,0.003130936622619629,0.0002264423666795524,0.0018337011337280274,7.146860476541976e-05,1e-10,True,True,optimal,squared_error,15000,l1,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 15000, 'model__penalty': 'l1', 'model__shuffle': False}",-5.060009439874591e+18,-5.559462205714952e+17,-1.5681848465026032e+16,,,,,,,,,,2015,-2.2429316939125924e+16,-6.660595726182347e+16,-1.1087154907651428e+16,-2.672553420826689e+16,-5.31622666856267e+16,-4.6243397412527704e+16,-7.476817005985971e+16,-3.5040378904520332e+16,-1.845233597463968e+16,-4.8228400663512584e+16,-4.027429130175544e+16,2.0014181796808444e+16
